dv,family,A,B,mean_A,mean_B,n_A,n_B,diff,se,ci_lo,ci_hi,z,p_raw,d,d_lo,d_hi,direction,p_holm,p_bh
OH2,clip-level,H1,HA2,5.863247863247863,5.846153846153846,39,39,0.017094017094128885,0.1938404290156594,-0.3628332237765635,0.3970212579648213,0.08818602590251153,0.9297288237580261,0.019621620510391225,-0.42424165717060563,0.4634848981913881,—,1.0,0.98937938380946
OH2,clip-level,H1,HA3,5.863247863247863,5.739837398373984,39,41,0.12341046487399282,0.1914619287660207,-0.25185491550740774,0.4986758452553934,0.6445692136780292,0.5192063909786211,0.14388054623101473,-0.2950923125795265,0.5828534050415559,—,1.0,0.9680826095017809
OH2,clip-level,H1,A,5.863247863247863,5.425925925925927,39,36,0.43732193732204994,0.19783755942106185,0.0495603208567687,0.8250835537873311,2.2105101710807524,0.02706977541602974,0.4347952499222892,-0.023522644768207535,0.8931131446127859,H1 > A,0.5684652837366245,0.23562904554709388
OH2,clip-level,H2,H3,5.76923076923077,5.7666666666666675,39,40,0.0025641025641031934,0.1926251165397759,-0.37498112585385757,0.380109330982064,0.013311361520052458,0.98937938380946,0.0032008453343274827,-0.43786923210088635,0.4442709227695413,—,1.0,0.98937938380946
OH2,clip-level,H2,HA1,5.76923076923077,5.850877192982456,39,38,-0.08164642375168779,0.19511152741563204,-0.46406501748632656,0.300772169982951,-0.4184602767101623,0.6756106239153317,-0.10305251047521166,-0.5501120335587111,0.3440070126082878,—,1.0,0.9680826095017809
OH2,clip-level,H2,HA2,5.76923076923077,5.846153846153846,39,39,-0.07692307692307752,0.1938404290156582,-0.4568503177937676,0.30300416394761254,-0.3968371165587122,0.6914875782155578,-0.09701758745024763,-0.5411312158056376,0.3470960409051424,—,1.0,0.9680826095017809
OH2,clip-level,H2,HA3,5.76923076923077,5.739837398373984,39,41,0.029393370856786408,0.1914619287660195,-0.34587200952461183,0.4046587512381846,0.1535207079873684,0.8779876612626664,0.037673433296139244,-0.40077177670492947,0.476118643297208,—,1.0,0.98937938380946
OH2,clip-level,H2,A,5.76923076923077,5.425925925925927,39,36,0.3433048433048435,0.19783755942106065,-0.04445677316043539,0.7310664597701224,1.7352864860922725,0.08269007418771049,0.36679944021476524,-0.08999305223412918,0.8235919326636596,—,1.0,0.34918568225903485
OH2,clip-level,H3,HA1,5.7666666666666675,5.850877192982456,40,38,-0.08421052631579098,0.19390418183074018,-0.4642627227040417,0.29584167007245976,-0.4342893769526782,0.66407831701495,-0.1050193724254111,-0.5493236991271859,0.33928495427636374,—,1.0,0.9680826095017809
OH2,clip-level,H3,HA2,5.7666666666666675,5.846153846153846,40,39,-0.07948717948718072,0.19262511653977588,-0.45703240790514144,0.29805804893078003,-0.4126522071215314,0.6798614453728291,-0.09907209274617587,-0.5404123379814688,0.34226815248911713,—,1.0,0.9680826095017809
OH2,clip-level,H3,HA3,5.7666666666666675,5.739837398373984,40,41,0.026829268292683214,0.19023142161008033,-0.3460243180630742,0.39968285464844067,0.1410348935291852,0.8878423767850131,0.03397299537968801,-0.4016471721356425,0.4695931628950185,—,1.0,0.98937938380946
OH2,clip-level,H3,A,5.7666666666666675,5.425925925925927,40,36,0.34074074074074034,0.19664695146040154,-0.044687284121646687,0.7261687656031274,1.7327537407024323,0.08313944815691306,0.3615255026204618,-0.09240664985624047,0.8154576550971641,—,1.0,0.34918568225903485
OH2,clip-level,HA1,HA2,5.850877192982456,5.846153846153846,38,39,0.0047233468286102635,0.19511152741563204,-0.3776952469060285,0.387141940563249,0.024208445760093192,0.9806863413633042,0.005951998159496417,-0.4408121282756718,0.45271612459466465,—,1.0,0.98937938380946
OH2,clip-level,HA1,HA3,5.850877192982456,5.739837398373984,38,41,0.1110397946084742,0.19274871303407146,-0.26674768293830586,0.48882727215525423,0.5760857899416746,0.5645571958188678,0.14222419349558388,-0.2996854274622148,0.5841338144533825,—,1.0,0.9680826095017809
OH2,clip-level,HA1,A,5.850877192982456,5.425925925925927,38,36,0.4249512670565313,0.19908313873145614,0.034748315142877295,0.8151542189701853,2.134541728467268,0.03279846163916104,0.45284991851301537,-0.008808915687758156,0.914508752713789,HA1 > A,0.6559692327832207,0.23562904554709388
OH2,clip-level,HA2,HA3,5.846153846153846,5.739837398373984,39,41,0.10631644777986393,0.1914619287660195,-0.2689489326015343,0.48158182816126216,0.5552876671883443,0.5786979130742211,0.13604538505498207,-0.3028674884002357,0.5749582585101999,—,1.0,0.9680826095017809
OH2,clip-level,HA2,A,5.846153846153846,5.425925925925927,39,36,0.42022792022792105,0.19783755942106065,0.032466303762642146,0.8079895366932,2.12410586471876,0.03366129222101341,0.4484477507621911,-0.01020693219435903,0.9071024337187412,HA2 > A,0.6559692327832207,0.23562904554709388
OH2,clip-level,HA3,A,5.739837398373984,5.425925925925927,41,36,0.3139114724480571,0.19550769336144191,-0.06928360654036902,0.6971065514364833,1.6056220962502892,0.1083569674967087,0.3403375385081071,-0.11054836181401956,0.7912234388302337,—,1.0,0.3792493862384805
OH3,clip-level,H1,H2,5.247863247863248,5.196581196581197,39,39,0.051282051281975376,0.3432059571217569,-0.6214016246766682,0.7239657272406189,0.14942063276536421,0.8812217318946729,0.03285052695904859,-0.4110320060843369,0.4767330600024341,—,1.0,0.8812217318946729
OH3,clip-level,H1,H3,5.247863247863248,5.3,39,40,-0.05213675213682811,0.3410541744229396,-0.7206029340057898,0.6163294297321336,-0.1528694150278119,0.8785012556490218,-0.03272451655605114,-0.47382382707189535,0.4083747939597931,—,1.0,0.8812217318946729
OH3,clip-level,H1,HA1,5.247863247863248,5.5964912280701755,39,38,-0.34862798020700336,0.3454565121023369,-1.0257227439275836,0.32846678351357694,-1.00918051330214,0.31288807040075517,-0.24192379275460385,-0.6903179124682137,0.20647032695900608,—,1.0,0.6570649478415859
OH3,clip-level,H1,HA2,5.247863247863248,5.495726495726496,39,39,-0.2478632478633238,0.3432059571217569,-0.9205469238219673,0.4248204280953197,-0.722199725033884,0.4701716923666458,-0.17111460448927338,-0.6157787160310967,0.27354950705255,—,1.0,0.7595081184384278
OH3,clip-level,H1,HA3,5.247863247863248,5.138211382113821,39,41,0.10965186574935065,0.33899468159560925,-0.5547777101780436,0.7740814416767448,0.3234619057538951,0.7463454529681817,0.06803699765426549,-0.3704960890811594,0.5065700843896904,—,1.0,0.8812217318946729
OH3,clip-level,H1,A,5.247863247863248,4.76851851851852,39,36,0.4793447293446528,0.35028311317992783,-0.20721017248800577,1.1658996311773113,1.3684494379220349,0.17117143842531113,0.26881509197024145,-0.18622813869862354,0.7238583226391064,—,1.0,0.6570649478415859
OH3,clip-level,H2,H3,5.196581196581197,5.3,39,40,-0.1034188034188035,0.34105417442294134,-0.7718849852877685,0.5650473784501615,-0.30323277407111815,0.761712473991423,-0.06921750333146301,-0.5104193320207981,0.3719843253578722,—,1.0,0.8812217318946729
OH3,clip-level,H2,HA1,5.196581196581197,5.5964912280701755,39,38,-0.39991003148897875,0.34545651210233863,-1.0770047952095625,0.277184732231605,-1.1576277113876166,0.24701599554071652,-0.30122153690361325,-0.7505106555701608,0.14806758176293433,—,1.0,0.6570649478415859
OH3,clip-level,H2,HA2,5.196581196581197,5.495726495726496,39,39,-0.2991452991452992,0.3432059571217586,-0.9718289751039461,0.3735383768133477,-0.8716203577992439,0.38341552096690834,-0.2236995646024518,-0.6689381883789517,0.22153905917404812,—,1.0,0.6786603816423167
OH3,clip-level,H2,HA3,5.196581196581197,5.138211382113821,39,41,0.058369814467375276,0.33899468159561097,-0.6060597614600222,0.7227993903947728,0.1721850448881231,0.8632920547386025,0.038526266579207095,-0.3999207227799431,0.4769732559383573,—,1.0,0.8812217318946729
OH3,clip-level,H2,A,5.196581196581197,4.76851851851852,39,36,0.4280626780626774,0.35028311317992955,-0.2584922237699845,1.1146175798953393,1.2220477149944562,0.2216895835284156,0.2532498873996697,-0.20156461134208425,0.7080643861414236,—,1.0,0.6570649478415859
OH3,clip-level,H3,HA1,5.3,5.5964912280701755,40,38,-0.29649122807017525,0.3433188352557502,-0.9693961451714456,0.37641368903109507,-0.8636031514242689,0.3878059323670381,-0.21657591175432278,-0.6618733467640214,0.22872152325537587,—,1.0,0.6786603816423167
OH3,clip-level,H3,HA2,5.3,5.495726495726496,40,39,-0.1957264957264957,0.34105417442294134,-0.8641926775954607,0.4727396861424693,-0.573886820349471,0.5660443922688903,-0.1420681193929354,-0.583693866553211,0.29955762776734024,—,1.0,0.8490665884033354
OH3,clip-level,H3,HA3,5.3,5.138211382113821,40,41,0.16178861788617876,0.33681599581605587,-0.49837073391329073,0.8219479696856482,0.48034719222342337,0.6309805373493631,0.10452138778961043,-0.33136463539992844,0.5404074109791493,—,1.0,0.8812217318946729
OH3,clip-level,H3,A,5.3,4.76851851851852,40,36,0.5314814814814809,0.3481750712881021,-0.15094165824319916,1.213904621206161,1.5264776984613566,0.12689094035058485,0.30908366239020507,-0.1438684042398502,0.7620357290202604,—,1.0,0.6570649478415859
